movie_name,Release_year,Run_Time,Rating,Certification
The Shawshank Redemption,1994,2h 22m,9.3 (2.8M),A
The Godfather,1972,2h 55m,9.2 (2M),A
The Dark Knight,2008,2h 32m,9.0 (2.8M),UA
The Godfather: Part II,1974,3h 22m,9.0 (1.3M),A
12 Angry Men,1957,1h 36m,9.0 (842K),U
Schindler's List,1993,3h 15m,9.0 (1.4M),A
The Lord of the Rings: The Return of the King,2003,3h 21m,9.0 (1.9M),U
Pulp Fiction,1994,2h 34m,8.9 (2.2M),A
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.8 (2M),U
"Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,8.8 (796K),A
Forrest Gump,1994,2h 22m,8.8 (2.2M),UA
Fight Club,1999,2h 19m,8.8 (2.3M),A
The Lord of the Rings: The Two Towers,2002,2h 59m,8.8 (1.7M),UA
Inception,2010,2h 28m,8.8 (2.5M),UA
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7 (1.4M),UA
The Matrix,1999,2h 16m,8.7 (2M),A
GoodFellas,1990,2h 25m,8.7 (1.2M),A
One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7 (1.1M),A
Se7en,1995,2h 7m,8.6 (1.8M),A
It's a Wonderful Life,1946,2h 10m,8.6 (483K),PG
Shichinin No Samurai,1954,3h 27m,8.6 (361K),U
Interstellar,2014,2h 49m,8.7 (2M),UA
The Silence of the Lambs,1991,1h 58m,8.6 (1.5M),A
Saving Private Ryan,1998,2h 49m,8.6 (1.5M),A
City of God,2002,2h 10m,8.6 (787K),A
Life Is Beautiful,1997,1h 56m,8.6 (728K),U
Spider-man: Across the Spider-verse,2023,2h 20m,8.7 (303K),U
The Green Mile,1999,3h 9m,8.6 (1.4M),UA
Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6 (1.4M),U
Terminator 2: Judgment Day,1991,2h 17m,8.6 (1.2M),A
Back to the Future,1985,1h 56m,8.5 (1.3M),U
Spirited Away,2001,2h 5m,8.6 (820K),U
The Pianist,2002,2h 30m,8.5 (888K),A
Psycho,13,1h 49m,8.5 (705K),A
Parasite,1960,2h 12m,8.5 (906K),UA
Gladiator,2019,2h 35m,8.5 (1.6M),U
The Lion King,2000,1h 28m,8.5 (1.1M),A
Léon,1994,1h 50m,8.5 (1.2M),R
American History X,1994,1h 59m,8.5 (1.2M),A
The Departed,1998,2h 31m,8.5 (1.4M),A
Whiplash,2006,1h 46m,8.5 (948K),U
The Prestige,2014,2h 10m,8.5 (1.4M),A
The Usual Suspects,2006,1h 46m,8.5 (1.1M),U
Grave of the Fireflies,1995,1h 29m,8.5 (300K),U
Seppuku,1988,2h 13m,8.6 (65K),UA
